,averagerating,numvotes,title,genres,Sport,Fantasy,Mystery,War,Biography,Drama,Comedy,History,Crime,Horror,Family,Adventure,Romance,Documentary,Sci-Fi,Action,Thriller,Music,Animation,year,dom_gross,for_gross,world_gross
800,7.0,89489,Frankenweenie,"Animation,Comedy,Family",False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,2012,35300000.0,46200000.0,81500000.0
801,7.0,78099,Demolition,"Comedy,Drama",False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,2016,2000000.0,,
802,6.6,66475,The Lost City of Z,"Adventure,Biography,Drama",False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,2017,8600000.0,10700000.0,19300000.0
803,7.0,235308,The World's End,"Action,Comedy,Sci-Fi",False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,2013,26000000.0,20100000.0,46100000.0
804,6.2,62311,Frozen,"Adventure,Drama,Sport",True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,2013,400700000.0,875700000.0,1276400000.0
805,5.3,14049,Race 2,"Action,Crime,Thriller",False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,2013,1600000.0,,
806,7.9,165307,Straight Outta Compton,"Biography,Drama,History",False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,2015,161200000.0,40400000.0,201600000.0
807,6.7,41958,The Pirates! Band of Misfits,"Adventure,Animation,Comedy",False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,2012,31100000.0,92000000.0,123100000.0
808,6.6,28781,The Grandmaster,"Action,Biography,Drama",False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,2013,6600000.0,57500000.0,64100000.0
809,4.6,16788,Max Steel,"Action,Adventure,Family",False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,2016,3800000.0,2500000.0,6300000.0
810,6.9,65571,The Iceman,"Biography,Crime,Drama",False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,2013,1930282.0,1693327.0,3623609.0
811,6.7,962,Caterpillar,"Drama,War",False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2011,4200.0,248000.0,252200.0
